CNTSCHID,n_stu,n_escs,w_sum,STRATUM_stu,REGION_stu,SUBNATIO_stu,escs_mean,math_mean,read_mean,scie_mean,CNT,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT,region_label,stratum_label,school_type,community,class_size,grupo_geo,sector_final,sector_fuente
03200183,29,20,1972.0891336706904,ARG12,3200,320000,-0.1734543141719239,353.03302124143266,370.2574685882351,362.0634620947907,ARG,ARG12,320000,3200,2.0,51.0,49.0,9.0,2.0,41.291977612,Rest of Country,"NEA, Private",Private,Small town (3-15k),>50,Resto del país,Privada,Cuestionario directivo
03200184,32,31,2308.258374509015,ARG09,3200,320000,-0.7380414231002701,365.8984909315824,360.97396343913454,394.3923593496364,ARG,ARG09,320000,3200,2.0,42.0,58.0,9.0,1.0,28.273258586,Rest of Country,"Santa Fe, Public",Public,Small town (3-15k),>50,Santa Fe,Pública,Cuestionario directivo
03200185,30,26,3167.397619029117,ARG03,3200,320000,-1.0844624425135607,401.1288209980812,412.7161750460808,428.9095433501474,ARG,ARG03,320000,3200,3.0,64.0,36.0,5.0,1.0,24.460767478,Rest of Country,"24 Depts Buenos Aires, Public",Public,Town (15-100k),31-35,Buenos Aires,Pública,Cuestionario directivo
03200186,35,35,706.4754818489291,ARG08,3202,320200,0.2355575290186213,453.3934567634907,485.3040610080576,501.7095725328155,ARG,ARG08,320200,3202,,,,,,7.60121,Cordoba,"Cordoba, Private",No response,No response,No response,Córdoba,Privada,Estrato muestral (imputado)
03200187,26,24,360.4808077332305,ARG19,3203,320300,-0.6812399731540776,345.35401760444046,367.5396286980064,384.2889546376435,ARG,ARG19,320300,3203,2.0,49.0,51.0,9.0,1.0,2.891593662,Mendoza,"Mendoza, Public",Public,Small town (3-15k),>50,Resto del país,Pública,Cuestionario directivo
03200188,34,33,811.1555201653503,ARG08,3202,320200,-0.4679482303351997,416.7456143594529,439.32311983605433,462.8769625126376,ARG,ARG08,320200,3202,5.0,49.0,51.0,3.0,2.0,11.016246377,Cordoba,"Cordoba, Private",Private,Large city (1-10M),21-25,Córdoba,Privada,Cuestionario directivo
03200189,22,19,2838.627996281421,ARG11,3200,320000,-0.7449669140285227,325.544870861506,337.2092787743229,359.3716630865701,ARG,ARG11,320000,3200,5.0,40.0,60.0,9.0,1.0,43.837739897,Rest of Country,"NEA, Public",Public,Large city (1-10M),>50,Resto del país,Pública,Cuestionario directivo
03200190,35,33,481.2009712862928,ARG02,3201,320100,0.931724035984676,460.1947501825883,452.38531520907065,460.2946593216985,ARG,ARG02,320100,3201,,,,,,4.1529933884,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200191,27,16,2977.911925318027,ARG11,3200,320000,-0.7820207954042543,306.4721989687155,319.1542492444145,325.73407713049454,ARG,ARG11,320000,3200,4.0,42.0,58.0,9.0,1.0,84.991536536,Rest of Country,"NEA, Public",Public,City (100k-1M),>50,Resto del país,Pública,Cuestionario directivo
03200192,35,35,622.59064931793,ARG02,3201,320100,0.7079215253324634,482.8581647387088,498.3955145730333,514.5243561421883,ARG,ARG02,320100,3201,,,,,,9.6636961538,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200193,32,31,755.4242079842874,ARG07,3202,320200,-0.8938462353953075,346.81059951126286,377.1686623183271,383.91403120840346,ARG,ARG07,320200,3202,3.0,52.0,48.0,4.0,1.0,7.9645252848,Cordoba,"Cordoba, Public",Public,Town (15-100k),26-30,Córdoba,Pública,Cuestionario directivo
03200194,22,20,1830.73393191136,ARG03,3200,320000,-1.133829366831006,331.8406422486249,356.5467083432726,367.95329428534126,ARG,ARG03,320000,3200,2.0,55.0,45.0,5.0,1.0,14.038353509,Rest of Country,"24 Depts Buenos Aires, Public",Public,Small town (3-15k),31-35,Buenos Aires,Pública,Cuestionario directivo
03200195,6,4,379.368,ARG19,3203,320300,-1.5781015966128833,338.4593738316668,329.90554784833336,351.52681184333335,ARG,ARG19,320300,3203,3.0,59.0,41.0,1.0,1.0,46.926434286,Mendoza,"Mendoza, Public",Public,Town (15-100k),≤15,Resto del país,Pública,Cuestionario directivo
03200196,26,25,4645.606468108993,ARG11,3200,320000,-0.7198213987228974,300.6960177960215,330.27133904538766,312.3049867439196,ARG,ARG11,320000,3200,3.0,46.0,54.0,9.0,1.0,28.721277864,Rest of Country,"NEA, Public",Public,Town (15-100k),>50,Resto del país,Pública,Cuestionario directivo
03200197,2,2,689.9543226908248,ARG11,3200,320000,-2.175701247770844,423.409158995,441.84907267,425.41101296,ARG,ARG11,320000,3200,2.0,65.0,35.0,,1.0,335.29795429,Rest of Country,"NEA, Public",Public,Small town (3-15k),No response,Resto del país,Pública,Cuestionario directivo
03200198,22,20,559.775970284557,ARG07,3202,320200,-0.9852942607161824,362.5246691368556,382.8062115787112,394.28826465330064,ARG,ARG07,320200,3202,5.0,49.0,51.0,9.0,1.0,8.3961988264,Cordoba,"Cordoba, Public",Public,Large city (1-10M),>50,Córdoba,Pública,Cuestionario directivo
03200199,28,25,319.3123333793309,ARG19,3203,320300,-0.895146115395996,376.1591124987552,405.1414495639973,402.0070770312266,ARG,ARG19,320300,3203,4.0,45.0,55.0,5.0,1.0,2.3598063218,Mendoza,"Mendoza, Public",Public,City (100k-1M),31-35,Resto del país,Pública,Cuestionario directivo
03200200,33,32,857.1295920494148,ARG08,3202,320200,0.0457517838237434,418.755948973568,453.2949529236445,477.2884537902637,ARG,ARG08,320200,3202,5.0,48.0,52.0,5.0,2.0,14.34190566,Cordoba,"Cordoba, Private",Private,Large city (1-10M),31-35,Córdoba,Privada,Cuestionario directivo
03200201,32,26,3459.764536113611,ARG15,3200,320000,-0.8536045931122909,343.59782856839547,358.2375143741391,402.2207547140128,ARG,ARG15,320000,3200,2.0,45.0,55.0,9.0,1.0,67.714361702,Rest of Country,"Cuyo, Public",Public,Small town (3-15k),>50,Resto del país,Pública,Cuestionario directivo
03200202,26,2,3210.3002323269325,ARG05,3200,320000,-0.5344093502981174,356.60464211104494,405.4105187435778,356.24837093969137,ARG,ARG05,320000,3200,2.0,61.0,39.0,9.0,1.0,22.552927923,Rest of Country,"Rest of Buenos Aires, Public",Public,Small town (3-15k),>50,Buenos Aires,Pública,Cuestionario directivo
03200203,28,23,279.7563775510204,ARG20,3203,320300,0.6782492101801821,392.98945880898,378.8926771453687,413.9925324833752,ARG,ARG20,320300,3203,5.0,50.0,50.0,4.0,2.0,9.8125,Mendoza,"Mendoza, Private",Private,Large city (1-10M),26-30,Resto del país,Privada,Cuestionario directivo
